Time,Open,High,Low,Last,Change,Volume
03/20/2014,591.11,591.11,587.67,589.44,-22.29,28302
03/19/2014,613.12,613.12,610.5,611.73,-3.28,16448
03/18/2014,616.31,616.31,612.85,615.01,-8.52,31448
03/17/2014,624.2,624.2,621.78,623.53,-5.05,17964
03/14/2014,629.66,629.66,626.82,628.58,-9.21,18947
03/13/2014,636.2,638.8,636.2,637.79,5.45,18037
03/12/2014,633.59,633.99,631.15,632.34,-1.25,29629
03/11/2014,631.39,637.01,631.39,633.59,6.45,18563
03/10/2014,629.08,629.08,625.75,627.14,-2.2,32751
03/07/2014,630.79,630.79,627.94,629.34,-33.23,54258
03/06/2014,665.03,665.03,658.24,662.57,-2.64,24349
03/05/2014,667.75,667.75,660.61,665.21,-3.07,33745
03/04/2014,664.82,671.49,664.82,668.28,3.81,82884
03/03/2014,659.69,671.63,659.69,664.47,114.01,143858
02/28/2014,556.07,556.07,545.17,550.46,-30.92,51152
02/27/2014,584.61,585.34,577.18,581.38,-3.23,44205
02/26/2014,580.41,588.65,580.41,584.61,50.16,110552
02/25/2014,540.95,540.95,525,534.45,-12.64,237301
02/24/2014,552,552,540.24,547.09,-25.1,106499
02/21/2014,566.68,578.17,566.68,572.19,11.08,82282
02/20/2014,567.05,567.05,555.75,561.11,-61.86,84533
02/19/2014,624.72,625.16,621.1,622.97,-1.75,22217
02/18/2014,626.5,626.56,623.37,624.72,-1.78,32019
02/17/2014,624.06,628.38,624.06,626.5,-35.82,50939
02/14/2014,658.71,665.54,658.71,662.32,49.57,154493
02/13/2014,617.86,617.86,602.62,612.75,-41.68,64194
02/12/2014,659.44,659.44,649.96,654.43,-12.03,38786
02/11/2014,676.76,682.25,656.94,666.46,-10.3,107913
02/10/2014,682.23,684.1,665.53,676.76,-41.07,166215
02/07/2014,724.67,724.67,704.95,717.83,-62.48,161329
02/06/2014,783.54,783.54,776.3,780.31,-38.95,63978
02/05/2014,825.3,825.3,811.16,819.26,-8.73,27793
02/04/2014,827.04,829.96,827.04,827.99,4.53,20057
02/03/2014,825.2,825.24,821.94,823.46,-5.13,16958
01/31/2014,825.74,832.33,825.74,828.59,10.72,20597
01/30/2014,819.55,819.55,815.76,817.87,-8.52,36534
01/29/2014,824.52,828.26,824.52,826.39,9.69,21469
01/28/2014,810.47,820.9,810.47,816.7,49.92,55295
01/27/2014,778.85,778.85,757.11,766.78,-30.93,64095
01/24/2014,799.49,799.49,795.2,797.71,-24.46,43854
01/23/2014,824.28,824.28,819.2,822.17,-23.66,18945
01/22/2014,847.08,847.08,844.27,845.83,-21.28,21869
01/21/2014,868.71,868.71,864.65,867.11,-8.29,21413
01/20/2014,868.94,882.06,868.94,875.4,62.09,31564
01/17/2014,820.49,820.49,809.03,813.31,-24.9,47885
01/16/2014,841.59,841.59,834.49,838.21,-23.86,23003
01/15/2014,859.96,865.77,859.96,862.07,26.29,32650
01/14/2014,841.38,841.38,833.27,835.78,-9.2,24986
01/13/2014,840.2,849.96,840.2,844.98,-67.63,54145
01/10/2014,904.86,921.66,904.86,912.61,75.57,54530
01/09/2014,838.29,838.29,834.76,837.04,-2.58,62615
01/08/2014,843.47,843.47,834.34,839.62,-19.87,53782
01/07/2014,863.63,863.63,852.22,859.49,-62.26,128117
01/06/2014,929.15,929.15,903.3,921.75,99.76,75468
01/03/2014,822.89,823.27,818.96,821.99,-0.9,36001
01/02/2014,819.3,825.68,819.3,822.89,50.36,61519
01/01/2014,768.8,781.35,768.8,772.53,8.26,19298
12/31/2013,764.27,764.27,764.27,764.27,15.78,36326
